DATE,FEDFUNDS,,,,,
1994/4/1,3.56,0.0356,,0.0697,,0.0341
1994/5/1,4.01,0.0401,,0.0718,,0.0317
1994/6/1,4.25,0.0425,,0.071,,0.0285
1994/7/1,4.26,0.0426,,0.073,,0.0304
1994/8/1,4.47,0.0447,,0.0724,,0.0277
1994/9/1,4.73,0.0473,,0.0746,,0.0273
1994/10/1,4.76,0.0476,,0.0774,,0.0298
1994/11/1,5.29,0.0529,,0.0795,,0.0266
1994/12/1,5.45,0.0545,,0.0781,,0.0236
1995/1/1,5.53,0.0553,,0.0778,,0.0225
1995/2/1,5.92,0.0592,,0.0747,,0.0155
1995/3/1,5.98,0.0598,,0.072,,0.0122
1995/4/1,6.05,0.0605,,0.0706,,0.0101
1995/5/1,6.01,0.0601,,0.0663,,0.0062
1995/6/1,6,0.06,,0.0617,,0.0017
1995/7/1,5.85,0.0585,,0.0628,,0.0043
1995/8/1,5.74,0.0574,,0.0649,,0.0075
1995/9/1,5.8,0.058,,0.062,,0.004
1995/10/1,5.76,0.0576,,0.0604,,0.0028
1995/11/1,5.8,0.058,,0.0593,,0.0013
1995/12/1,5.6,0.056,,0.0571,,0.0011
1996/1/1,5.56,0.0556,,0.0565,,0.0009
